0.0001,-122.4
0.00013162,-121.557
0.000173238,-118.588
0.000228016,-114.468
0.000300114,-110.849
0.00039501,-106.274
0.000519912,-100.573
0.000684308,-94.5486
0.000900685,-85.836
0.00118548,-78.1881
0.00156033,-67.5543
0.0020537,-57.17
0.00270308,-45.2265
0.0035578,-31.6984
0.00468277,-18.0793
0.00616346,-3.21254
0.00811233,11.7107
0.0106774,28.7774
0.0140536,45.4241
0.0184974,62.0375
0.0243463,80.0184
0.0320445,96.3564
0.042177,110.913
0.0555133,126.14
0.0730666,138.323
0.0961702,146.885
0.126579,156.255
0.166603,163.134
0.219283,167.777
0.28862,171.341
0.379882,172.929
0.5,176.111
